expocode: 316420080418
vessel name: CRIMP1_158W_21N
"PIs: Sutton, A.; DeCarlo, E. "
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP1_158W_21N,21.43,-157.79,4/18/2008,3:16:00,453.5,2,6.78,387.2,2,6.21,1010.2,26.6,97.7,24.862,35.066,456.6,389.7,440,375.4,64.5,441.3,376.7,64.7
CRIMP1_158W_21N,21.43,-157.79,4/18/2008,6:16:00,427.7,2,5.69,387.9,2,5.44,1012.4,26.4,98.59,25.034,34.976,430.1,390,415.2,376.5,38.7,416.5,377.7,38.8
CRIMP1_158W_21N,21.43,-157.79,4/18/2008,9:16:00,469.9,2,5.73,409.8,2,5.5,1013.4,25.5,98.35,24.249,35.088,472.6,412,457.3,398.7,58.6,458.8,400,58.8
CRIMP1_158W_21N,21.43,-157.79,4/18/2008,12:16:00,409.1,2,5.83,404.1,2,5.62,1012.4,24.9,98.93,24.521,35.066,411.5,406.4,397.6,392.7,5,398.9,394,4.9
CRIMP1_158W_21N,21.43,-157.79,4/18/2008,15:16:00,424.6,2,5.66,389.7,2,5.45,1012.4,24.4,99.08,24.396,34.95,427,391.8,412.7,378.7,34,414,379.9,34.1
CRIMP1_158W_21N,21.43,-157.79,4/18/2008,18:16:00,424.5,2,6.4,388.2,2,6.21,1014.5,24,99.22,24.43,34.919,427.2,390.6,413.7,378.3,35.4,415.1,379.5,35.6
CRIMP1_158W_21N,21.43,-157.79,4/18/2008,21:16:00,435.3,2,6.68,385.8,2,6.18,1014.9,24.8,99.51,24.848,34.887,438.2,388.2,424.3,375.8,48.4,425.6,377,48.6
CRIMP1_158W_21N,21.43,-157.79,4/19/2008,0:16:00,456.2,2,6.74,385.5,2,5.88,1013.2,25.7,99.66,25.313,35.016,459.3,387.8,443.5,374.4,69.1,444.9,375.7,69.3
CRIMP1_158W_21N,21.43,-157.79,4/19/2008,3:16:00,461.3,2,6.65,385.3,2,5.75,1012.1,26.3,99.85,25.443,34.983,464.3,387.5,447.8,373.7,74.1,449.2,374.9,74.3
CRIMP1_158W_21N,21.43,-157.79,4/19/2008,6:16:00,454.4,2,6.3,385.8,2,5.73,1013.7,26.3,99.95,25.251,34.988,457.3,388,441.8,374.9,66.9,443.3,376.1,67.2
