expocode: 316420051201
vessel name: CRIMP1_158W_21N
"PIs: Sutton, A.; DeCarlo, E."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP1_158W_21N,21.43,-157.79,12/1/2005,0:16:00,416,2,10.94,374.7,2,11.13,1007.8,24.7,97.81,26.023,34.23,420.6,378.9,403.4,363.4,40,404.6,364.5,40.1
CRIMP1_158W_21N,21.43,-157.79,12/1/2005,3:16:00,406.1,2,10.42,375,2,10.6,1008.7,25.3,99.67,25.827,34.126,410.4,379,394.1,364,30.1,395.3,365.1,30.2
CRIMP1_158W_21N,21.43,-157.79,12/1/2005,6:16:00,413.4,2,10.52,381.8,2,10.37,1010.5,25.5,100.62,25.806,34.197,417.8,385.8,402,371.2,30.8,403.2,372.3,30.9
CRIMP1_158W_21N,21.43,-157.79,12/1/2005,9:16:00,432.8,2,10.12,401.9,2,10.28,1010.1,25.4,101.04,25.755,34.248,437.2,406.1,420.5,390.6,29.9,421.8,391.8,30
CRIMP1_158W_21N,21.43,-157.79,12/1/2005,12:16:00,433.2,2,10.21,389,2,10.37,1008.2,25,101.05,25.543,34.17,437.6,393.1,420.3,377.5,42.7,421.6,378.7,42.9
CRIMP1_158W_21N,21.43,-157.79,12/1/2005,15:16:00,445.5,2,9.68,387.9,2,9.84,1008.7,24.6,100.76,25.439,34.194,449.9,391.8,432.3,376.5,55.8,433.7,377.7,56
CRIMP1_158W_21N,21.43,-157.79,12/1/2005,18:16:00,478.9,2,10.38,409.9,2,10.84,1010.2,24.3,99.62,25.429,34.386,483.9,414.4,465.8,398.8,66.9,467.2,400.1,67.1
CRIMP1_158W_21N,21.43,-157.79,12/1/2005,21:16:00,458.2,2,11.12,379.8,2,11.63,1010.4,25,100,25.666,34.474,463.4,384.2,445.9,369.7,76.2,447.3,370.9,76.5
CRIMP1_158W_21N,21.43,-157.79,12/2/2005,0:16:00,422.6,2,8.82,377.3,2,9.32,1008.6,26.6,101.05,26.32,34.144,426.3,380.8,408.9,365.3,43.7,410.2,366.4,43.8
CRIMP1_158W_21N,21.43,-157.79,12/2/2005,3:16:00,402.5,2,11.61,376.8,2,12.16,1009,27.2,102.1,25.941,33.992,407.3,381.5,391.1,366.3,24.8,392.4,367.5,24.9
CRIMP1_158W_21N,21.43,-157.79,12/2/2005,6:16:00,400.5,2,11.2,419.5,2,11.39,1010.5,27.1,102.61,25.772,33.97,405.1,424.4,389.7,408.3,-18.6,391,409.6,-18.6
CRIMP1_158W_21N,21.43,-157.79,12/2/2005,9:16:00,424.9,2,10.47,400.6,2,10.64,1011.3,26.5,103.37,26.096,34.238,429.4,404.9,413.2,389.7,23.5,414.5,390.9,23.7
