Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP1_158W_21N,21.428,-157.788,1/16/2008,6:16,359.1,2,11.64,381.8,2,9.06,1016.3,22.6,98.98,-999,-999,363.3,385.3,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/16/2008,9:16,366.7,2,11.49,382.1,2,9.45,1016.9,22.5,99.23,-999,-999,371,385.7,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/16/2008,12:16,375,2,11.68,382.2,2,9.46,1016.3,22.4,99.13,-999,-999,379.4,385.9,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/16/2008,15:16,401.1,2,11.43,382.1,2,9.66,1015.6,22.4,98.74,-999,-999,405.8,385.8,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/16/2008,18:16,390,2,11.68,381.8,2,9.4,1016.5,22.4,98.5,-999,-999,394.7,385.5,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/16/2008,21:16,381.3,2,12.93,381.6,2,10.35,1016.2,22.6,98.45,-999,-999,386.3,385.6,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/17/2008,0:16,362.2,2,13.63,381.1,2,10.96,1013.9,23.1,98.93,-999,-999,367.2,385.4,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/17/2008,3:16,339.6,2,12.67,381.7,2,9.92,1014.4,23.7,99.66,-999,-999,344,385.6,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/17/2008,6:16,346.2,2,12.09,381.6,2,9.9,1016.5,23.7,99.95,-999,-999,350.4,385.5,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/17/2008,9:16,357.2,2,11.94,381.3,2,10.32,1016.7,23.5,100.15,-999,-999,361.5,385.3,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/17/2008,12:16,365.1,2,10.35,386.1,2,9.56,1015,23.1,100.05,-999,-999,368.9,389.8,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/17/2008,15:16,379.6,2,10.76,382,2,9.73,1014.2,22.4,99.66,-999,-999,383.8,385.7,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/17/2008,18:16,394,2,10.73,381.6,2,9.99,1015.1,22,99.18,-999,-999,398.3,385.4,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/17/2008,21:16,388.4,2,12.72,380.6,2,10.98,1015.4,22,98.98,-999,-999,393.4,384.8,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/18/2008,0:16,378.1,2,13.91,378.4,2,13.39,1013.5,22.7,99.32,-999,-999,383.5,383.6,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/18/2008,3:16,366.6,2,12.6,381.3,2,10.41,1013.6,23.6,99.37,-999,-999,371.2,385.3,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/18/2008,6:16,369.8,2,11.77,381.9,2,10.13,1014.6,23.6,99.61,-999,-999,374.2,385.8,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/18/2008,9:16,371.9,2,12.09,381.8,2,10.21,1015.2,23.3,99.66,-999,-999,376.4,385.7,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/18/2008,12:16,356.5,2,11.16,394.2,2,9.83,1014,23.1,100,-999,-999,360.5,398.1,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/18/2008,15:16,375.3,2,10.06,399.5,2,9.29,1013.2,22.6,99.95,-999,-999,379.1,403.3,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/18/2008,18:16,413.3,2,11.17,439.9,3,10.49,1014.9,22,99.17,-999,-999,418,444.5,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/18/2008,21:16,403.4,2,13.46,378.6,2,12.78,1015.5,22.3,99.12,-999,-999,408.9,383.5,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/19/2008,0:16,409.9,2,13.7,378.2,2,12.33,1013.3,23.5,99.02,-999,-999,415.6,382.9,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/19/2008,3:16,388.8,2,13.31,378.8,2,12.21,1013.2,23.7,99.8,-999,-999,394,383.5,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/19/2008,6:16,392.2,2,11.15,398.3,2,10.31,1015,23.9,100.15,-999,-999,396.6,402.4,-999,-999,-999,-999,-999,-999
CRIMP1_158W_21N,21.428,-157.788,1/19/2008,9:16,383.3,2,11.88,379.4,2,11.34,1016.1,23.4,100.39,-999,-999,387.9,383.7,-999,-999,-999,-999,-999,-999
