Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP1_158W_21N,21.428,-157.788,7/5/2007,0:16,501.8,2,12.74,373.3,2,11.47,1018.3,27,97.5,26.777,35.271,508.3,377.7,492,365.5,126.4,493.5,366.7,126.8
CRIMP1_158W_21N,21.428,-157.788,7/5/2007,3:16,499.1,2,12.03,380.3,2,10.65,1017.5,27.4,98.04,26.733,35.238,505.2,384.4,488.6,371.8,116.8,490.1,372.9,117.2
CRIMP1_158W_21N,21.428,-157.788,7/5/2007,6:16,495.9,2,12.01,380.5,2,10.98,1018.7,27.4,98.48,26.57,35.254,501.9,384.8,486.2,372.7,113.5,487.7,373.9,113.9
CRIMP1_158W_21N,21.428,-157.788,7/5/2007,9:16,509.2,2,11.79,380,2,11.12,1019.5,27.1,98.88,26.775,35.325,515.3,384.3,499.4,372.4,127,500.9,373.6,127.4
CRIMP1_158W_21N,21.428,-157.788,7/5/2007,12:16,512.5,2,11.53,379.7,2,11.53,1018.3,26.7,98.92,26.635,35.307,518.5,384.1,502,371.9,130.1,503.6,373.1,130.5
CRIMP1_158W_21N,21.428,-157.788,7/5/2007,15:16,511.2,2,11.98,379.8,2,11.33,1018,26.3,98.83,26.588,35.227,517.4,384.2,500.9,371.8,129,502.4,373,129.4
CRIMP1_158W_21N,21.428,-157.788,7/5/2007,18:16,521.6,2,12.6,379.8,2,10.99,1019.9,26.2,98.39,26.485,35.242,528.3,384,512.4,372.5,139.9,514.1,373.7,140.4
CRIMP1_158W_21N,21.428,-157.788,7/5/2007,21:16,505.1,2,12.98,379.3,2,11.32,1019.6,26.8,98.29,26.577,35.191,511.8,383.6,496.2,371.9,124.2,497.8,373.1,124.6
CRIMP1_158W_21N,21.428,-157.788,7/6/2007,0:16,499.6,2,12.85,379.9,2,10.77,1018.5,27.5,98.48,26.775,35.194,506.1,384,490,371.8,118.2,491.5,372.9,118.6
CRIMP1_158W_21N,21.428,-157.788,7/6/2007,3:16,483.1,2,13.08,380,2,11.32,1018.1,27.9,99.12,26.685,34.992,489.5,384.3,473.7,372,101.8,475.2,373.1,102.1
CRIMP1_158W_21N,21.428,-157.788,7/6/2007,6:16,437.9,2,12.29,379.9,2,11.24,1019.3,27.8,100.78,26.917,35.249,443.4,384.3,429.4,372.2,57.3,430.8,373.4,57.4
CRIMP1_158W_21N,21.428,-157.788,7/6/2007,9:16,489.4,2,11.65,380,2,11.31,1020.1,27.4,100.49,26.495,34.983,495.1,384.4,480.4,372.9,107.5,481.9,374.1,107.8
CRIMP1_158W_21N,21.428,-157.788,7/6/2007,12:16,491.3,2,11.85,379.9,2,11.19,1018.8,26.6,100.15,26.418,35.035,497.2,384.2,481.9,372.3,109.5,483.4,373.5,109.9
CRIMP1_158W_21N,21.428,-157.788,7/6/2007,15:16,506.4,2,11.9,380.7,2,11.26,1018.5,26.1,99.32,25.937,34.319,512.5,385,497,373.3,123.6,498.5,374.5,124
CRIMP1_158W_21N,21.428,-157.788,7/6/2007,18:16,500.6,2,13.1,379.7,2,12.14,1019.5,26,98.97,26.362,34.996,507.2,384.4,491.9,372.8,119.2,493.5,374,119.5
CRIMP1_158W_21N,21.428,-157.788,7/6/2007,21:16,494.3,2,13.33,379.7,2,11.06,1018.9,26.8,98.83,26.614,35.001,501,383.9,485.3,371.9,113.4,486.9,373.1,113.8
CRIMP1_158W_21N,21.428,-157.788,7/7/2007,0:16,515.9,2,12.94,380,2,10.49,1017.3,27.7,98.63,26.825,35.057,522.7,384.1,505.3,371.3,134,506.9,372.5,134.4
CRIMP1_158W_21N,21.428,-157.788,7/7/2007,3:16,473.2,2,13.18,379.9,2,11.04,1016.6,28,99.36,27.022,34.89,479.6,384.2,463.1,371,92.1,464.6,372.2,92.4
CRIMP1_158W_21N,21.428,-157.788,7/7/2007,6:16,460.8,2,12.66,380.2,2,10.9,1017.7,27.9,100.34,27.057,35.085,466.7,384.4,451.1,371.6,79.6,452.6,372.7,79.8
CRIMP1_158W_21N,21.428,-157.788,7/7/2007,9:16,468.7,2,12.56,380.5,2,11.26,1018.1,27.2,100.68,26.884,35.042,474.7,384.8,459.2,372.3,86.9,460.7,373.5,87.2
CRIMP1_158W_21N,21.428,-157.788,7/7/2007,12:16,477.1,2,12.54,380.6,2,11.22,1016.5,26.6,100.64,26.685,35.019,483.1,385,466.9,372,94.9,468.3,373.2,95.2
CRIMP1_158W_21N,21.428,-157.788,7/7/2007,15:16,487.4,2,12.32,380.4,2,11.03,1016.2,26.3,100.39,26.647,35.007,493.5,384.6,476.7,371.6,105.2,478.2,372.7,105.5
CRIMP1_158W_21N,21.428,-157.788,7/7/2007,18:16,475.2,2,13.19,379.4,2,11.26,1017.9,26.2,100.15,26.572,35.022,481.6,383.7,466.1,371.4,94.8,467.6,372.5,95.1
CRIMP1_158W_21N,21.428,-157.788,7/7/2007,21:16,482.9,2,13.68,379.7,2,11.01,1017.4,26.8,100,26.744,35.055,489.6,384,473.5,371.3,102.1,474.9,372.5,102.4
CRIMP1_158W_21N,21.428,-157.788,7/8/2007,0:16,501.1,2,13.15,379.3,2,10.79,1016.1,27.5,99.85,26.994,35.096,507.8,383.4,490.2,370.1,120.1,491.7,371.3,120.4
CRIMP1_158W_21N,21.428,-157.788,7/8/2007,3:16,497.7,2,13.32,379.1,2,11.22,1015,27.7,99.9,27.025,35.165,504.4,383.4,486.3,369.6,116.7,487.9,370.8,117.1
CRIMP1_158W_21N,21.428,-157.788,7/8/2007,6:16,490.3,2,12.88,379.1,2,11.14,1015.9,27.6,100.34,27.029,35.176,496.7,383.4,479.3,370,109.3,480.8,371.1,109.7
CRIMP1_158W_21N,21.428,-157.788,7/8/2007,9:16,492.1,2,12.65,379.3,2,11.28,1016.5,27.3,100.44,26.909,35.159,498.4,383.6,481.4,370.5,110.9,482.9,371.7,111.2
CRIMP1_158W_21N,21.428,-157.788,7/8/2007,12:16,499.7,2,12.11,379.3,2,11.1,1014.8,27.1,100.34,26.84,35.177,505.8,383.6,487.8,369.9,117.9,489.3,371.1,118.2
CRIMP1_158W_21N,21.428,-157.788,7/8/2007,15:16,520.6,2,12.97,379.2,2,11.3,1015,26.8,99.71,26.945,35.177,527.4,383.6,508.6,369.9,138.7,510.2,371,139.1
CRIMP1_158W_21N,21.428,-157.788,7/8/2007,18:16,494.9,2,13.2,378.4,2,11.88,1016.4,26.7,99.56,26.626,35.119,501.5,383,484.6,370.1,114.5,486.1,371.2,114.9
CRIMP1_158W_21N,21.428,-157.788,7/8/2007,21:16,500.7,2,13.94,378.4,2,11.56,1015.9,27.1,99.21,26.785,35.078,507.8,382.8,490.3,369.6,120.6,491.8,370.8,121
CRIMP1_158W_21N,21.428,-157.788,7/9/2007,0:16,500.2,2,14.02,378.2,2,11.57,1014.9,27.7,99.31,27.091,35.112,507.3,382.6,489,368.8,120.2,490.5,370,120.6
CRIMP1_158W_21N,21.428,-157.788,7/9/2007,3:16,499.6,2,14.2,377.7,2,11.78,1014.3,28,99.46,27.032,35.163,506.8,382.2,488.3,368.2,120.1,489.8,369.3,120.5
CRIMP1_158W_21N,21.428,-157.788,7/9/2007,6:16,507.8,2,12.76,378.3,2,11.34,1015.6,27.9,99.9,27.31,35.233,514.4,382.7,495.9,369,127,497.5,370.1,127.4
CRIMP1_158W_21N,21.428,-157.788,7/9/2007,9:16,487.8,2,13.15,378.1,2,11.42,1016.5,27.5,99.95,26.805,35.029,494.3,382.5,477.5,369.5,108,479,370.6,108.4
CRIMP1_158W_21N,21.428,-157.788,7/9/2007,12:16,485.6,2,13.2,378.2,2,11.84,1015,27.2,99.95,26.816,35.039,492.1,382.7,474.6,369.2,105.5,476.1,370.3,105.8
CRIMP1_158W_21N,21.428,-157.788,7/9/2007,15:16,502.4,2,13.04,378.1,2,11.7,1015.3,26.9,99.61,26.792,35.005,509.1,382.5,491.2,369.1,122.1,492.8,370.3,122.5
CRIMP1_158W_21N,21.428,-157.788,7/9/2007,18:16,490.2,2,13.77,377.2,2,12.46,1017,26.6,99.46,26.708,34.923,497.1,382,480.5,369.3,111.3,482,370.4,111.6
CRIMP1_158W_21N,21.428,-157.788,7/9/2007,21:16,501.3,2,13.77,377.3,2,12.09,1016.8,26.9,99.21,26.858,35.046,508.3,382,491.2,369.1,122.1,492.7,370.2,122.5
