Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP1_158W_21N,21.428,-157.788,9/22/2006,3:16,538,2,2.39,373.7,2,0.4,1009.8,29.7,97.97,26.897,34.386,539.3,373.8,517.4,358.6,158.8,519,359.7,159.3
CRIMP1_158W_21N,21.428,-157.788,9/22/2006,6:16,537.9,2,14.98,369.7,2,11.84,1011.4,29.2,98.27,26.907,34.431,546.1,374.1,524.7,359.5,165.3,526.4,360.6,165.8
CRIMP1_158W_21N,21.428,-157.788,9/22/2006,9:16,533.5,2,13.56,369.7,2,11.72,1011.9,28.3,98.51,26.856,34.391,540.8,374,520,359.6,160.3,521.6,360.7,160.8
CRIMP1_158W_21N,21.428,-157.788,9/22/2006,12:16,536.5,2,12.9,369.9,2,11.11,1010.4,27.8,98.03,26.592,34.286,543.5,374.1,522.1,359.3,162.8,523.7,360.4,163.3
CRIMP1_158W_21N,21.428,-157.788,9/22/2006,15:16,536.5,2,12.96,370.2,2,11.21,1009.7,27.4,97.55,26.508,34.333,543.5,374.4,521.8,359.4,162.3,523.4,360.6,162.8
CRIMP1_158W_21N,21.428,-157.788,9/22/2006,18:16,546.9,2,14.09,369.8,2,12.03,1011.1,27.1,96.83,26.435,34.329,554.7,374.3,533.3,359.9,173.4,535,361,174
CRIMP1_158W_21N,21.428,-157.788,9/22/2006,21:16,550.9,2,14.6,369.3,2,12.46,1011.1,27.7,96.92,26.757,34.371,559.1,374,537.2,359.3,177.9,538.9,360.4,178.4
CRIMP1_158W_21N,21.428,-157.788,9/23/2006,0:16,553.9,2,15.33,367,2,14.95,1009.3,28.5,97.63,27.129,34.398,562.5,372.6,539.1,357.1,182,540.8,358.2,182.6
CRIMP1_158W_21N,21.428,-157.788,9/23/2006,3:16,536,2,13.24,368.9,2,11.35,1009,28.9,97.93,27.005,34.419,543.2,373.1,520.5,357.6,163,522.1,358.7,163.5
CRIMP1_158W_21N,21.428,-157.788,9/23/2006,6:16,542.9,2,12.99,369.5,2,11.51,1010.5,28.5,98.66,27.055,34.407,550.1,373.8,527.9,358.7,169.1,529.5,359.9,169.7
CRIMP1_158W_21N,21.428,-157.788,9/23/2006,9:16,545.2,2,12.54,369.5,2,11.82,1010.8,27.9,98.85,26.919,34.393,552.2,373.9,530.2,359,171.2,531.9,360.1,171.7
CRIMP1_158W_21N,21.428,-157.788,9/23/2006,12:16,547.4,2,13.31,369.6,2,12.26,1010,27.4,98.65,26.792,34.305,554.8,374.2,532.4,359.1,173.3,534.1,360.2,173.9
CRIMP1_158W_21N,21.428,-157.788,9/23/2006,15:16,549.9,2,12.74,370.5,2,11.7,1009.7,27.1,97.65,26.708,34.28,557,374.9,534.5,359.8,174.7,536.1,360.9,175.3
CRIMP1_158W_21N,21.428,-157.788,9/23/2006,18:16,566.2,2,13.25,370.3,2,11.82,1011.3,26.9,96.84,26.641,34.011,573.8,374.7,551.6,360.2,191.4,553.3,361.3,192
CRIMP1_158W_21N,21.428,-157.788,9/23/2006,21:16,577.8,2,14.7,369.4,2,12.65,1010.8,27.1,96.35,26.924,34.245,586.4,374.1,563.1,359.2,203.9,564.8,360.3,204.5
CRIMP1_158W_21N,21.428,-157.788,9/24/2006,0:16,546.9,2,14.81,368.1,2,14.08,1008.7,27.9,97.1,27.055,34.31,555.2,373.4,531.8,357.7,174.1,533.4,358.8,174.6
CRIMP1_158W_21N,21.428,-157.788,9/24/2006,3:16,542.5,2,14.34,369.5,2,11.76,1008.5,28.3,97.64,27.107,34.364,550.4,373.9,527.1,358,169,528.7,359.2,169.6
CRIMP1_158W_21N,21.428,-157.788,9/24/2006,6:16,545.4,2,13.42,370.3,2,11.25,1010.1,28.2,98.27,27.195,34.35,552.8,374.5,530.2,359.1,171,531.8,360.3,171.6
CRIMP1_158W_21N,21.428,-157.788,9/24/2006,9:16,548.6,2,12.04,370.7,2,10.98,1010.7,27.7,98.56,26.923,34.369,555.2,374.8,533.1,359.8,173.3,534.8,360.9,173.8
CRIMP1_158W_21N,21.428,-157.788,9/24/2006,12:16,554.6,2,11.16,379.7,2,10.49,1009.5,26.8,98.13,26.66,34.08,560.8,383.8,538.1,368.2,169.9,539.8,369.4,170.4
CRIMP1_158W_21N,21.428,-157.788,9/24/2006,15:16,526.5,2,11.76,370.7,2,11.43,1008.9,26.1,98.22,26.519,34.062,532.8,375,511,359.7,151.3,512.6,360.8,151.8
CRIMP1_158W_21N,21.428,-157.788,9/24/2006,18:16,560.1,2,13.14,370.3,2,11.86,1010,25.8,97.45,26.411,34.131,567.5,374.7,545.1,359.9,185.2,546.8,361,185.8
CRIMP1_158W_21N,21.428,-157.788,9/24/2006,21:16,552.6,2,13.78,369,2,12.8,1010,26.2,97.11,26.574,34.132,560.3,373.8,538,358.9,179.1,539.7,360,179.7
CRIMP1_158W_21N,21.428,-157.788,9/25/2006,0:16,533.3,2,13.47,369.6,2,11.45,1008.3,26.8,97.74,26.788,34.178,540.6,373.8,517.9,358.2,159.7,519.5,359.3,160.2
CRIMP1_158W_21N,21.428,-157.788,9/25/2006,3:16,525.2,2,13.87,369.5,2,11.79,1008,27.3,98.56,26.83,34.225,532.6,373.9,510.1,358.1,152,511.7,359.2,152.4
CRIMP1_158W_21N,21.428,-157.788,9/25/2006,6:16,557.3,2,12.81,370.1,2,11.7,1009.7,27.3,98.7,26.795,34.265,564.5,374.4,541.6,359.2,182.4,543.3,360.4,182.9
CRIMP1_158W_21N,21.428,-157.788,9/25/2006,9:16,535.4,2,12.93,370,2,11.91,1009.7,27,98.9,26.82,34.256,542.4,374.4,520.3,359.2,161.1,521.9,360.3,161.6
CRIMP1_158W_21N,21.428,-157.788,9/25/2006,12:16,535.6,2,12.79,370.6,2,11.45,1008.3,26.9,98.8,26.665,34.243,542.6,374.9,519.9,359.3,160.7,521.6,360.4,161.2
CRIMP1_158W_21N,21.428,-157.788,9/25/2006,15:16,550.6,2,11.91,371,2,11.58,1007.9,26.4,98.51,26.754,34.097,557.2,375.3,533.7,359.5,174.2,535.3,360.6,174.7
CRIMP1_158W_21N,21.428,-157.788,9/25/2006,18:16,551.1,2,12.26,370.2,2,11.94,1009.4,26,98.03,26.763,34.197,557.9,374.6,535.2,359.3,175.8,536.8,360.4,176.4
CRIMP1_158W_21N,21.428,-157.788,9/25/2006,21:16,554.7,2,14.03,369.2,2,12.72,1010,26.2,97.83,26.962,34.138,562.6,374,539.7,358.8,180.9,541.4,359.9,181.5
CRIMP1_158W_21N,21.428,-157.788,9/26/2006,0:16,537.2,2,14.14,367.4,2,14.14,1007.6,27.1,98.55,27.127,34.181,544.9,372.7,521.3,356.5,164.7,522.9,357.7,165.2
CRIMP1_158W_21N,21.428,-157.788,9/26/2006,3:16,530.6,2,14.38,368.4,2,12.94,1007.4,27.9,98.84,27.412,34.101,538.3,373.2,514.6,356.7,157.8,516.1,357.8,158.3
CRIMP1_158W_21N,21.428,-157.788,9/26/2006,6:16,510,2,13.27,369.4,2,12.2,1009.4,28,99.62,27.363,33.862,516.8,374,495.1,358.2,136.8,496.6,359.4,137.3
CRIMP1_158W_21N,21.428,-157.788,9/26/2006,9:16,525.1,2,13.47,369.4,2,12.41,1009.7,27.7,99.66,27.121,34.15,532.3,374.1,510.4,358.6,151.7,511.9,359.7,152.2
CRIMP1_158W_21N,21.428,-157.788,9/26/2006,12:16,545.7,2,13.33,369.2,2,12.63,1008.2,27.6,99.23,26.955,34.138,553,373.9,529.6,358.1,171.5,531.2,359.2,172
CRIMP1_158W_21N,21.428,-157.788,9/26/2006,15:16,534.5,2,12.56,369.9,2,12.21,1008.2,27.4,99.04,26.798,34.12,541.3,374.5,518.5,358.7,159.8,520.1,359.8,160.3
CRIMP1_158W_21N,21.428,-157.788,9/26/2006,18:16,523.8,2,12.58,369.2,2,12.24,1010,26.9,98.65,26.829,34.119,530.5,373.8,509.1,358.7,150.4,510.7,359.8,150.9
CRIMP1_158W_21N,21.428,-157.788,9/26/2006,21:16,546.7,2,13.85,369.1,2,12.84,1010.4,26.8,98.12,26.82,34.152,554.4,373.9,532.2,359,173.3,533.9,360.1,173.8
CRIMP1_158W_21N,21.428,-157.788,9/27/2006,0:16,531.3,2,14.04,369.2,2,12.67,1008.9,27.1,98.36,26.868,34.163,538.8,373.9,516.4,358.4,158.1,518,359.5,158.6
CRIMP1_158W_21N,21.428,-157.788,9/27/2006,3:16,516.9,2,13.86,369.3,2,12.48,1008.7,27.3,98.84,26.735,34.102,524.1,373.9,502.4,358.4,144,504,359.5,144.4
CRIMP1_158W_21N,21.428,-157.788,9/27/2006,6:16,523.6,2,13.23,369.2,2,12.54,1009.8,27.4,99.13,26.809,33.722,530.6,373.9,509.1,358.7,150.3,510.6,359.9,150.8
CRIMP1_158W_21N,21.428,-157.788,9/27/2006,9:16,516.5,2,12.8,371.8,2,12.45,1010.6,27.4,99.23,26.648,33.933,523.2,376.5,502.5,361.6,140.9,504.1,362.8,141.4
CRIMP1_158W_21N,21.428,-157.788,9/27/2006,12:16,531.4,2,13.42,370,2,12.39,1009.7,27.3,98.75,26.557,33.747,538.6,374.6,517,359.6,157.4,518.6,360.7,157.9
CRIMP1_158W_21N,21.428,-157.788,9/27/2006,15:16,536.8,2,13.42,369.6,2,12.39,1009.9,27.2,98.27,26.433,33.832,544.1,374.2,522.5,359.4,163.2,524.2,360.5,163.7
CRIMP1_158W_21N,21.428,-157.788,9/27/2006,18:16,561.9,2,13.92,369.4,2,12.9,1011.5,27,97.21,26.493,34.157,569.8,374.2,548,359.9,188.2,549.8,361,188.8
CRIMP1_158W_21N,21.428,-157.788,9/27/2006,21:16,548.9,2,14.25,369.1,2,12.52,1011.5,27.4,97.12,26.736,34.242,556.9,373.8,535.3,359.3,176,537,360.4,176.6
CRIMP1_158W_21N,21.428,-157.788,9/28/2006,0:16,547.4,2,14.52,369.5,2,12.34,1009.7,28,97.31,26.926,34.282,555.5,374.1,532.8,358.8,174,534.4,359.9,174.5
CRIMP1_158W_21N,21.428,-157.788,9/28/2006,3:16,536.6,2,14.12,369.6,2,11.89,1009.3,28.5,97.98,27.014,34.31,544.3,374,521.7,358.5,163.2,523.4,359.6,163.7
