expocode: 316420090206
vessel name: CRIMP2_158W_21N
"PIs: Sutton, A.; De Carlo, E.; Tomlinson, M."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP2_158W_21N,21.458,-157.798,2/6/2009,0:16,298,2,12.37,384,2,10.95,1012.8,24.2,101.69,23.531,35.214,301.8,388.3,292.2,376,-83.7,293.2,377.2,-84
CRIMP2_158W_21N,21.458,-157.798,2/6/2009,3:16,257.7,2,11.61,384.5,2,10.62,1013.1,24.6,104.21,23.708,35.241,260.7,388.6,252.5,376.3,-123.8,253.3,377.5,-124.2
CRIMP2_158W_21N,21.458,-157.798,2/6/2009,6:16,298.4,2,11.15,384.6,2,10.32,1015.3,24.5,103.98,23.371,35.25,301.8,388.6,293,377.3,-84.3,294,378.6,-84.6
CRIMP2_158W_21N,21.458,-157.798,2/6/2009,9:16,403.3,2,10.8,385,2,9.98,1015.7,24.3,101.77,22.733,35.239,407.7,388.8,396.5,378.1,18.3,397.8,379.4,18.4
CRIMP2_158W_21N,21.458,-157.798,2/6/2009,12:16,429.5,2,10.07,384.6,2,10.11,1015,24.1,99.74,22.701,35.237,433.9,388.5,421.6,377.6,44.1,423,378.8,44.2
CRIMP2_158W_21N,21.458,-157.798,2/6/2009,15:16,468.4,2,10.74,384.9,2,10.16,1013.9,23.9,97.71,22.709,35.225,473.5,388.9,459.6,377.5,82.1,461.1,378.7,82.4
CRIMP2_158W_21N,21.458,-157.798,2/6/2009,18:16,527.7,2,10.86,391.5,2,10.47,1015.5,23.8,95.51,22.594,35.232,533.5,395.6,518.8,384.7,134.1,520.5,386,134.6
CRIMP2_158W_21N,21.458,-157.798,2/6/2009,21:16,473.9,2,12.51,383.9,2,11.46,1016.4,23.9,94.92,22.806,35.225,479.9,388.3,466.9,377.9,89.1,468.5,379.1,89.4
CRIMP2_158W_21N,21.458,-157.798,2/7/2009,0:16,404.1,2,13.41,383.4,2,11.7,1014.1,24.7,95.92,23.287,35.022,409.6,388,397.3,376.3,21,398.6,377.6,21
CRIMP2_158W_21N,21.458,-157.798,2/7/2009,3:16,330.9,2,12.57,384.1,2,11.09,1014.2,25.6,99.63,23.646,35.197,335.1,388.4,324.9,376.5,-51.7,326,377.8,-51.8
