expocode: 316420190224
vessel name: CRIMP2_158W_21N
PIs: Sutton_A.; Noakes_S.; Cai_W.-J.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
CRIMP2_158W_21N,21.458,-157.798,02/24/2019,23:17,456.0,2,6.42,-999.0,4,5.43,1014.0,25.2,97.98,24.09,34.123,458.971,-999.000,444.526,-999.0,-999.0,446.0,-999.0,-999.0,-999.000,5
CRIMP2_158W_21N,21.458,-157.798,02/24/2019,23:47,398.4,2,3.88,413.7,2,2.88,1013.6,26.3,102.63,24.25,34.088,399.957,414.939,387.130,401.6,-14.5,388.4,402.9,-14.5,-999.000,5
CRIMP2_158W_21N,21.458,-157.798,02/25/2019,00:17,403.6,2,3.79,414.0,2,2.76,1013.4,27.0,106.25,24.25,34.104,405.092,415.103,391.992,401.7,-9.7,393.3,403.0,-9.7,-999.000,5
CRIMP2_158W_21N,21.458,-157.798,02/25/2019,00:47,433.3,2,3.68,414.2,2,2.70,1013.1,27.6,106.28,24.40,34.078,434.904,415.291,420.618,401.6,19.0,422.0,402.9,19.0,-999.000,5
CRIMP2_158W_21N,21.458,-157.798,02/25/2019,01:17,358.0,2,3.52,414.4,2,2.58,1012.9,28.1,109.33,24.53,34.011,359.245,415.452,347.280,401.6,-54.3,348.4,402.9,-54.5,-999.000,5
CRIMP2_158W_21N,21.458,-157.798,02/25/2019,01:47,425.7,2,3.50,414.6,2,2.58,1012.8,28.4,108.50,24.53,34.011,427.147,415.664,412.893,401.8,11.1,414.2,403.1,11.1,-999.000,5
CRIMP2_158W_21N,21.458,-157.798,02/25/2019,02:17,386.0,2,3.51,414.6,2,2.55,1012.9,28.7,109.03,24.45,34.073,387.318,415.623,374.466,401.8,-27.4,375.7,403.1,-27.5,-999.000,5
CRIMP2_158W_21N,21.458,-157.798,02/25/2019,02:47,343.8,2,3.44,414.5,2,2.54,1012.8,29.0,111.19,24.45,34.091,345.005,415.521,333.552,401.7,-68.2,334.6,403.0,-68.4,-999.000,5
CRIMP2_158W_21N,21.458,-157.798,02/25/2019,03:17,375.2,2,3.45,414.6,2,2.54,1012.9,29.2,111.03,24.45,34.083,376.459,415.673,363.995,401.9,-37.9,365.2,403.2,-38.0,-999.000,5
CRIMP2_158W_21N,21.458,-157.798,02/25/2019,06:17,420.4,2,4.72,413.6,2,4.01,1014.2,27.4,108.82,24.58,34.230,422.412,415.269,408.852,401.9,6.9,410.2,403.2,6.9,-999.000,5
