Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP2_158W_21N,21.458,-157.798,1/3/2012,21:17,414.8,2,7.78,388.9,2,7.68,1021.2,24.1,98.97,23.823,35.065,418,391.9,408,382.5,25.5,409.4,383.8,25.6
CRIMP2_158W_21N,21.458,-157.798,1/4/2012,0:17,384.5,2,8.45,385.6,2,8.29,1019,25.3,100.4,24.138,35.078,387.7,388.8,377.4,378.5,-1.1,378.6,379.7,-1.1
CRIMP2_158W_21N,21.458,-157.798,1/4/2012,3:17,386.1,2,7.85,386.1,2,7.38,1020.5,25.4,101.49,24.284,35.099,389.2,388.9,379.3,379,0.2,380.5,380.3,0.2
CRIMP2_158W_21N,21.458,-157.798,1/4/2012,6:17,356.6,2,7.72,390.7,2,7.35,1022.4,25.3,102.99,24.471,35.17,359.3,393.6,350.8,384.2,-33.4,351.9,385.5,-33.5
CRIMP2_158W_21N,21.458,-157.798,1/4/2012,9:17,410.5,2,7.64,398.3,2,7.39,1022.4,25,102.48,24.366,35.162,413.7,401.3,403.9,391.8,12.1,405.2,393.1,12.2
CRIMP2_158W_21N,21.458,-157.798,1/4/2012,12:17,457.5,2,7.67,397.5,2,7.48,1021.6,24.6,100.82,24.115,35.191,461.1,400.5,450,390.9,59.1,451.5,392.2,59.3
CRIMP2_158W_21N,21.458,-157.798,1/4/2012,15:17,494,2,7.8,387,2,7.58,1021.7,24.4,98.82,23.861,35.194,497.9,390,486.2,380.8,105.4,487.8,382.1,105.7
CRIMP2_158W_21N,21.458,-157.798,1/4/2012,18:17,515,2,7.93,386.7,2,7.72,1023.5,24.4,97.01,23.754,35.18,519.1,389.7,507.9,381.3,126.6,509.6,382.6,127
CRIMP2_158W_21N,21.458,-157.798,1/4/2012,21:17,623.8,2,8.17,386.6,2,7.81,1023.7,24.6,94.37,23.876,35.204,628.9,389.7,615.4,381.3,234.1,617.4,382.5,234.9
CRIMP2_158W_21N,21.458,-157.798,1/5/2012,0:17,487.2,2,8.45,385.8,2,7.99,1021.1,24.8,96.19,23.973,35.238,491.4,388.9,479.5,379.5,100,481,380.7,100.3
