expocode: 316420080611-2
vessel name: CRIMP2_158W_21N
"PIs: Sutton, A.; De Carlo, E.; Tomlinson, M."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP2_158W_21N,21.458,-157.798,6/11/2008,0:16,608.9,2,11.88,384.7,2,9.04,1010.1,27.9,94.78,26.815,35.204,616.2,388.2,591.5,372.6,218.9,593.3,373.8,219.6
CRIMP2_158W_21N,21.458,-157.798,6/11/2008,3:16,406.4,2,11.31,384.2,2,9.59,1009.4,28.7,98.97,26.932,35.184,411,387.9,394.1,372,22.2,395.4,373.1,22.2
CRIMP2_158W_21N,21.458,-157.798,6/11/2008,6:16,372,2,10.43,384,2,9.41,1010,28.2,100.95,26.34,35.157,375.9,387.7,361.1,372.4,-11.3,362.2,373.6,-11.4
CRIMP2_158W_21N,21.458,-157.798,6/11/2008,9:16,371.6,2,10.36,384.1,2,9.32,1011.3,27.6,101.5,25.958,35.212,375.5,387.7,361.4,373.2,-11.8,362.6,374.4,-11.8
CRIMP2_158W_21N,21.458,-157.798,6/11/2008,12:16,459,2,10.24,384.2,2,9.42,1009.8,27,100.65,25.787,35.26,463.7,387.9,445.8,372.9,72.9,447.2,374.1,73.1
CRIMP2_158W_21N,21.458,-157.798,6/11/2008,15:16,600.1,2,10.03,384.7,2,9.33,1010.2,26.5,97.07,25.231,35.203,606.2,388.4,583.7,373.9,209.7,585.5,375.1,210.4
CRIMP2_158W_21N,21.458,-157.798,6/11/2008,18:16,536.9,2,10.82,383.8,2,10.13,1011.4,26.3,95.4,25.169,35.202,542.7,387.7,523.3,373.8,149.5,524.9,375,150
CRIMP2_158W_21N,21.458,-157.798,6/11/2008,21:16,463.4,2,11.14,383.8,2,9.83,1011.4,26.7,96.15,25.322,35.106,468.7,387.6,451.7,373.6,78.1,453.1,374.8,78.3
CRIMP2_158W_21N,21.458,-157.798,6/12/2008,0:16,354.1,2,11.22,-999,4,9.69,1010.6,27.2,99.87,26.226,35.095,358.1,-999,344.3,-999,-999,345.4,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/12/2008,3:16,321.2,2,10.67,384,2,9.39,1010.2,27.5,102.47,26.841,35.263,324.7,387.7,311.6,372.1,-60.4,312.6,373.2,-60.6
CRIMP2_158W_21N,21.458,-157.798,6/12/2008,6:16,336.7,2,10.21,384.9,2,9.25,1011.5,27.2,103.94,26.611,35.239,340.2,388.5,327.1,373.6,-46.5,328.1,374.7,-46.6
CRIMP2_158W_21N,21.458,-157.798,6/12/2008,9:16,397.4,2,9.7,386.5,2,9.34,1011.9,26.8,103.52,26.216,35.026,401.3,390.1,386.3,375.6,10.7,387.5,376.8,10.8
CRIMP2_158W_21N,21.458,-157.798,6/12/2008,12:16,525,2,9.14,385.8,2,9.56,1010.6,26.1,101.09,25.887,35.152,529.9,389.6,509.7,374.8,135,511.4,376,135.4
CRIMP2_158W_21N,21.458,-157.798,6/12/2008,15:16,630.6,2,9.24,385.8,2,9.07,1010.6,25.4,97.8,25.435,34.213,636.5,389.3,612.9,374.8,238,614.8,376,238.8
CRIMP2_158W_21N,21.458,-157.798,6/12/2008,18:16,864.8,2,9.45,386,2,9.34,1012.1,24.9,93.24,25.428,34.275,873.1,389.7,841.9,375.8,466.2,844.6,377,467.6
CRIMP2_158W_21N,21.458,-157.798,6/12/2008,21:16,587,2,10.49,383.6,2,10.07,1012.4,25.1,91.9,25.786,34.765,593.3,387.5,571.9,373.6,198.3,573.7,374.7,198.9
CRIMP2_158W_21N,21.458,-157.798,6/13/2008,0:16,456.1,2,10.88,383.7,2,9.7,1011.4,26,94.17,26.503,34.736,461.1,387.5,443.4,372.6,70.8,444.8,373.8,71
CRIMP2_158W_21N,21.458,-157.798,6/13/2008,3:16,405.2,2,10.86,383.6,2,9.62,1010.9,27.2,97.21,26.753,34.62,409.7,387.4,393.5,372.1,21.4,394.8,373.3,21.5
CRIMP2_158W_21N,21.458,-157.798,6/13/2008,6:16,435.6,2,10.28,384.1,2,9.39,1012.3,27.4,98.26,26.361,34.316,440.1,387.7,423.7,373.3,50.5,425.1,374.4,50.6
CRIMP2_158W_21N,21.458,-157.798,6/13/2008,9:16,347.7,2,10.37,383.7,2,9.7,1012.5,27,100.56,26.706,34.879,351.4,387.4,338.1,372.8,-34.7,339.2,374,-34.8
CRIMP2_158W_21N,21.458,-157.798,6/13/2008,12:16,424.3,2,10.32,384,2,9.76,1011,26.6,100.63,26.162,34.634,428.8,387.8,412.4,373,39.4,413.7,374.2,39.5
CRIMP2_158W_21N,21.458,-157.798,6/13/2008,15:16,517.9,2,10.21,384,2,9.64,1011.1,26.3,99.09,25.874,34.597,523.2,387.8,503.6,373.3,130.4,505.2,374.4,130.8
CRIMP2_158W_21N,21.458,-157.798,6/13/2008,18:16,583,2,11.15,383.6,2,10.32,1012.4,26.2,96.81,25.603,34.872,589.5,387.6,568.5,373.8,194.7,570.3,375,195.3
CRIMP2_158W_21N,21.458,-157.798,6/13/2008,21:16,468.1,2,11.59,383.7,2,9.58,1012.4,26.6,98.08,26.222,34.987,473.6,387.4,456.2,373.2,83,457.6,374.4,83.3
CRIMP2_158W_21N,21.458,-157.798,6/14/2008,0:16,445.9,2,11.83,385.7,2,9.47,1011.2,27.5,99.76,26.738,34.982,451.2,389.4,433.6,374.2,59.5,435,375.4,59.7
CRIMP2_158W_21N,21.458,-157.798,6/14/2008,3:16,338.5,2,11.92,383.9,2,9.73,1010.5,28.3,103.7,27.487,34.993,342.6,387.7,328.4,371.7,-43.3,329.4,372.9,-43.4
CRIMP2_158W_21N,21.458,-157.798,6/14/2008,6:16,352.8,2,10.63,383.8,2,9.28,1011.7,28.3,105.39,27.365,35.008,356.6,387.4,342.4,372,-29.6,343.5,373.2,-29.7
CRIMP2_158W_21N,21.458,-157.798,6/14/2008,9:16,400.5,2,10.66,383.8,2,9.69,1012.6,27.6,105.32,26.97,35.021,404.8,387.5,389.4,372.8,16.6,390.6,373.9,16.7
CRIMP2_158W_21N,21.458,-157.798,6/14/2008,12:16,372.1,2,10.62,383.7,2,9.73,1011.1,27.1,105.44,26.659,35.045,376.1,387.4,361.4,372.3,-10.9,362.6,373.5,-10.9
CRIMP2_158W_21N,21.458,-157.798,6/14/2008,15:16,640.5,2,10.29,383.9,2,9.53,1011.2,26.4,101.17,26.243,35.023,647.2,387.6,622.6,372.8,249.7,624.5,374,250.5
CRIMP2_158W_21N,21.458,-157.798,6/14/2008,18:16,648.7,2,11.28,383.4,2,10.29,1012.6,26,97.2,25.928,35.042,656.1,387.4,632.4,373.5,259,634.4,374.6,259.8
CRIMP2_158W_21N,21.458,-157.798,6/14/2008,21:16,411.5,2,11.9,383.1,2,9.9,1012.4,26.6,98.69,26.072,35.057,416.5,386.9,401.3,372.8,28.5,402.5,374,28.6
CRIMP2_158W_21N,21.458,-157.798,6/15/2008,0:16,470.2,2,12.09,383.5,2,9.72,1010.7,27.6,99.24,27.034,35.039,475.9,387.2,456.8,371.7,85.1,458.3,372.9,85.4
CRIMP2_158W_21N,21.458,-157.798,6/15/2008,3:16,366,2,12,383.3,2,9.75,1009.8,28.4,102.28,27.109,35.018,370.5,387.1,355.3,371.2,-15.9,356.4,372.3,-16
CRIMP2_158W_21N,21.458,-157.798,6/15/2008,6:16,334.1,2,10.9,383.2,2,9.63,1010.9,28.5,105.02,27.236,35.097,337.8,386.9,324.2,371.3,-47.1,325.2,372.5,-47.3
CRIMP2_158W_21N,21.458,-157.798,6/15/2008,9:16,349.9,2,10.96,383.2,2,9.78,1011.7,27.8,105.6,27.313,35.115,353.8,387,339.8,371.6,-31.9,340.8,372.8,-32
CRIMP2_158W_21N,21.458,-157.798,6/15/2008,12:16,380.2,2,10.79,383.4,2,9.53,1010.2,27.2,105.25,26.957,35.101,384.4,387.1,368.8,371.4,-2.6,370,372.6,-2.6
CRIMP2_158W_21N,21.458,-157.798,6/15/2008,15:16,467.1,2,10.73,383.4,2,9.52,1009.9,26.8,102.18,26.857,35.163,472.1,387,453,371.4,81.6,454.4,372.5,81.9
CRIMP2_158W_21N,21.458,-157.798,6/15/2008,18:16,541.2,2,11.15,382.7,2,10.19,1011.1,26.6,98.59,26.365,35.151,547.3,386.6,526.3,371.8,154.6,528,372.9,155
CRIMP2_158W_21N,21.458,-157.798,6/15/2008,21:16,397,2,12.23,382.8,2,10.09,1010.8,27,99.94,26.275,35.094,401.9,386.7,386.4,371.8,14.6,387.6,373,14.6
CRIMP2_158W_21N,21.458,-157.798,6/16/2008,0:16,374.6,2,12.3,382.8,2,9.96,1010.1,27.8,101.79,26.824,35.101,379.2,386.7,364,371.1,-7.1,365.1,372.2,-7.1
CRIMP2_158W_21N,21.458,-157.798,6/16/2008,3:16,394.3,2,12.08,382.8,2,9.98,1009.5,28.6,102.56,26.883,35.108,399.1,386.7,382.8,370.8,12,384,372,12
CRIMP2_158W_21N,21.458,-157.798,6/16/2008,6:16,377.3,2,11.16,383,2,9.75,1010.9,28.4,103.54,27.082,35.126,381.5,386.8,366.3,371.3,-5,367.4,372.5,-5.1
CRIMP2_158W_21N,21.458,-157.798,6/16/2008,9:16,326.9,2,11.18,383,2,9.81,1012,27.8,104.19,27.42,35.131,330.6,386.8,317.5,371.5,-54.1,318.5,372.7,-54.2
CRIMP2_158W_21N,21.458,-157.798,6/16/2008,12:16,400.1,2,10.95,383.2,2,9.82,1010.6,27.3,103.15,26.626,35.115,404.5,387,388.6,371.8,16.8,389.8,373,16.9
CRIMP2_158W_21N,21.458,-157.798,6/16/2008,15:16,439,2,10.79,383.5,2,9.61,1010.6,26.9,102.19,26.293,34.717,443.8,387.3,426.6,372.3,54.4,428,373.4,54.6
CRIMP2_158W_21N,21.458,-157.798,6/16/2008,18:16,458.2,2,12,382.6,2,10.65,1011.8,26.7,101.32,26.318,34.682,463.7,386.7,446.3,372.2,74.1,447.7,373.4,74.4
CRIMP2_158W_21N,21.458,-157.798,6/16/2008,21:16,394.3,2,12.33,382.7,2,10.07,1011.9,27.2,101.92,26.604,35.128,399.2,386.6,384,371.9,12.2,385.2,373,12.2
CRIMP2_158W_21N,21.458,-157.798,6/17/2008,0:16,361.2,2,12.6,382.7,2,10.18,1010.5,27.9,103.91,27.161,35.114,365.9,386.6,351,371,-19.9,352.1,372.1,-20
CRIMP2_158W_21N,21.458,-157.798,6/17/2008,3:16,404.2,2,12.08,383.4,2,10.31,1009.8,28.6,104,26.887,35.131,409.2,387.4,392.5,371.6,20.9,393.8,372.8,21
CRIMP2_158W_21N,21.458,-157.798,6/17/2008,6:16,477.8,2,11.16,383.3,2,10.1,1011.1,28.3,102.57,26.519,35.137,483.2,387.2,464.5,372.2,92.3,466,373.4,92.6
CRIMP2_158W_21N,21.458,-157.798,6/17/2008,9:16,394.8,2,11.18,383,2,10.26,1012.4,27.7,102.2,26.935,35.148,399.3,387,384,372.2,11.8,385.2,373.4,11.9
CRIMP2_158W_21N,21.458,-157.798,6/17/2008,12:16,395.9,2,11.02,383.2,2,10.18,1011.5,27.2,101.53,26.797,35.153,400.4,387.1,384.8,372.1,12.7,386,373.3,12.7
CRIMP2_158W_21N,21.458,-157.798,6/17/2008,15:16,427.9,2,10.91,383.7,2,10.07,1011.7,26.9,100.24,26.464,35.134,432.6,387.6,416.2,372.9,43.3,417.5,374.1,43.4
CRIMP2_158W_21N,21.458,-157.798,6/17/2008,18:16,472.8,2,11.09,383.8,2,10.29,1012.9,26.6,98.99,26.198,35.063,478,387.8,460.7,373.7,87,462.2,374.9,87.3
CRIMP2_158W_21N,21.458,-157.798,6/17/2008,21:16,384.3,2,12.11,383.2,2,10.56,1013.3,26.7,100.12,26.058,35.096,389,387.3,375.2,373.5,1.7,376.3,374.7,1.7
CRIMP2_158W_21N,21.458,-157.798,6/18/2008,0:16,345.3,2,12.04,382.7,2,10.72,1012.5,27.3,102.45,26.822,35.101,349.5,386.9,336.2,372.2,-36,337.3,373.4,-36.1
CRIMP2_158W_21N,21.458,-157.798,6/18/2008,3:16,378.7,2,12.22,383.2,2,10.87,1012.4,27.8,103.08,26.676,35.115,383.4,387.4,368.9,372.8,-3.9,370.1,374,-3.9
CRIMP2_158W_21N,21.458,-157.798,6/18/2008,6:16,387.6,2,11.03,382.9,2,10.05,1014,27.8,103.09,26.732,35.132,391.9,386.8,377.7,372.8,4.9,378.9,373.9,4.9
CRIMP2_158W_21N,21.458,-157.798,6/18/2008,9:16,382.4,2,11.09,382.8,2,10.25,1015.3,27.4,102.34,26.877,35.136,386.7,386.8,373,373.2,-0.1,374.2,374.3,-0.1
CRIMP2_158W_21N,21.458,-157.798,6/18/2008,12:16,416.9,2,11,382.7,2,10.1,1014.4,27,101.01,26.651,35.142,421.5,386.6,406.5,372.8,33.6,407.7,374,33.7
CRIMP2_158W_21N,21.458,-157.798,6/18/2008,15:16,431.8,2,10.89,382.7,2,10.18,1014.1,26.7,99.83,26.433,35.148,436.5,386.6,421,372.9,48.1,422.3,374.1,48.3
CRIMP2_158W_21N,21.458,-157.798,6/18/2008,18:16,561.6,2,11.8,382.3,2,10.82,1015.5,26.6,97.17,25.974,35.144,568.3,386.5,549.4,373.6,175.8,551.1,374.8,176.4
CRIMP2_158W_21N,21.458,-157.798,6/18/2008,21:16,404.8,2,12.3,382.2,2,10.8,1015.9,27,98.94,26.147,35.093,409.8,386.4,396.2,373.6,22.6,397.5,374.7,22.7
CRIMP2_158W_21N,21.458,-157.798,6/19/2008,0:16,340.6,2,12.39,382.2,2,10.17,1014.5,27.7,102.06,27.171,35.131,344.9,386.2,332.2,372,-39.8,333.3,373.2,-39.9
CRIMP2_158W_21N,21.458,-157.798,6/19/2008,3:16,373.6,2,12.06,382.2,2,10.48,1013.8,28.3,103.59,26.798,35.132,378.2,386.2,364.3,372.1,-7.8,365.5,373.3,-7.8
CRIMP2_158W_21N,21.458,-157.798,6/19/2008,6:16,436.1,2,11.2,382.4,2,10.16,1014.4,28.1,102.97,26.605,35.148,441.1,386.3,425.4,372.6,52.8,426.7,373.8,52.9
CRIMP2_158W_21N,21.458,-157.798,6/19/2008,9:16,391.7,2,11.21,382.2,2,10.52,1015.5,27.5,102.04,26.505,35.127,396.1,386.2,382.5,373,9.6,383.7,374.1,9.6
CRIMP2_158W_21N,21.458,-157.798,6/19/2008,12:16,504.4,2,10.94,382.5,2,10.28,1014.4,27.1,99.61,25.541,35.12,510,386.5,492.8,373.5,119.3,494.4,374.7,119.7
CRIMP2_158W_21N,21.458,-157.798,6/19/2008,15:16,565.8,2,10.85,382.6,2,10.06,1014.1,26.7,97.21,25.28,35.106,572,386.5,552.9,373.6,179.3,554.7,374.8,179.9
CRIMP2_158W_21N,21.458,-157.798,6/19/2008,18:16,590,2,11.41,382.7,2,10.13,1015.2,26.5,95.45,25.06,35.113,596.8,386.6,577.7,374.3,203.4,579.6,375.5,204.1
CRIMP2_158W_21N,21.458,-157.798,6/19/2008,21:16,425.7,2,12.16,382.5,2,10.23,1014.8,26.8,97.54,25.678,35.113,431,386.4,416.6,373.5,43.1,417.9,374.7,43.2
