Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP2_158W_21N,21.458,-157.798,6/18/2009,6:17,319.4,2,14.09,382.7,2,12.55,1017.5,31.5,99.3,-999,-999,324,387.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/18/2009,9:17,298.4,2,14.79,381.5,2,13.23,1018.3,29.7,99.14,-999,-999,302.9,386.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/18/2009,12:17,300,2,13.66,382,2,12.91,1017.1,28.9,99.13,-999,-999,304.2,387,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/18/2009,15:17,306.9,2,13.59,382.7,2,12.41,1016.9,28.1,98.98,-999,-999,311.1,387.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/18/2009,18:17,301.6,2,14.62,381.9,2,12.68,1018,27.6,98.73,-999,-999,306.1,386.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/18/2009,21:17,282.8,2,15.72,-999,4,13.27,1017.9,27.9,98.56,-999,-999,287.4,-999,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/19/2009,0:17,287.9,2,16.17,380.1,2,12.82,1016.6,29.1,98.36,-999,-999,292.7,385,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/19/2009,3:17,284.3,2,16.04,380.4,2,12.91,1015.8,29.9,98.33,-999,-999,288.9,385.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/19/2009,6:17,305.7,2,12.96,382.2,2,12.56,1017.9,29.6,98.72,-999,-999,309.8,387.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/19/2009,9:17,266,2,13.32,382.4,2,12.37,1018.1,28.4,98.66,-999,-999,269.6,387.2,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/19/2009,12:17,285.8,2,13.22,382.8,2,12.47,1016.9,27.7,98.65,-999,-999,289.6,387.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/19/2009,15:17,311,2,12.6,382.9,2,12.36,1016.8,27.2,98.73,-999,-999,314.9,387.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/19/2009,18:17,277.2,2,13.58,379.8,2,13.23,1017.7,26.7,98.68,-999,-999,281,384.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/19/2009,21:17,292.8,2,14.61,394.6,2,13.18,1017.5,27,97.01,-999,-999,297.1,399.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/20/2009,0:17,387.8,2,14.79,379.9,2,13.33,1016.5,27.5,98.94,-999,-999,393.6,385,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/20/2009,3:17,395.5,2,14.55,380.2,2,13.14,1015.9,27.8,100.82,-999,-999,401.3,385.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/20/2009,6:17,416.4,2,14.28,380.6,2,13.23,1016.8,27.7,101.02,-999,-999,422.4,385.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/20/2009,9:17,381.1,2,13.62,381.2,2,12.99,1017.6,27.3,99.97,-999,-999,386.4,386.2,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/20/2009,12:17,439.3,2,13.76,381.1,2,12.96,1016.4,26.9,98.98,-999,-999,445.4,386.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/20/2009,15:17,646.7,2,13.61,381.3,2,12.84,1016,26.7,95.43,-999,-999,655.6,386.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/20/2009,18:17,680.9,2,14.26,380.8,2,13.04,1017.5,26.5,93.52,-999,-999,690.8,385.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/20/2009,21:17,399.7,2,14.54,379.8,2,13.26,1017.6,26.9,97.82,-999,-999,405.7,385,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/21/2009,0:17,372.2,2,14.99,379.5,2,13.54,1016.5,27.4,101.32,-999,-999,377.9,384.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/21/2009,3:17,411.5,2,14.58,379.9,2,13.22,1016.4,27.7,101.97,-999,-999,417.6,385.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/21/2009,6:17,406.6,2,14.28,380,2,13.25,1017.6,27.5,101.88,-999,-999,412.5,385.2,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/21/2009,9:17,423.4,2,13.89,380.2,2,12.83,1018.6,27.3,99.8,-999,-999,429.4,385.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/21/2009,12:17,496.3,2,13.4,380.4,2,12.74,1017.3,27,97.84,-999,-999,503.1,385.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/21/2009,15:17,589.3,2,13.7,380.8,2,12.5,1017.2,26.7,95.73,-999,-999,597.5,385.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/21/2009,18:17,663.3,2,13.68,381,2,12.8,1018.4,26.6,94.33,-999,-999,672.5,386,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/21/2009,21:17,384.3,2,14.3,380.3,2,13.4,1018.5,26.8,98.7,-999,-999,389.9,385.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/22/2009,0:17,355.3,2,13.99,380.8,2,12.96,1017.6,26.9,102.06,-999,-999,360.4,385.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/22/2009,3:17,363.2,2,14.4,380.7,2,13.19,1016.9,26.9,103.24,-999,-999,368.5,385.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/22/2009,6:17,342.2,2,13.8,381.1,2,12.57,1018.4,26.9,102.33,-999,-999,347,386,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/22/2009,9:17,415.6,2,13.18,381.1,2,12.67,1018.8,26.7,100.02,-999,-999,421.2,386,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/22/2009,12:17,492.7,2,13.01,381,2,12.89,1017.2,26.3,98.27,-999,-999,499.2,386,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/22/2009,15:17,529.9,2,13.57,381.1,2,12.73,1017.1,26,96.96,-999,-999,537.2,386.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/22/2009,18:17,576.9,2,13.93,380.2,2,12.71,1018.4,26.1,96.57,-999,-999,585.1,385.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/22/2009,21:17,338.9,2,14.33,379.5,2,12.64,1018.7,26.5,100.6,-999,-999,343.9,384.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/23/2009,0:17,351.8,2,14.13,379,2,12.66,1018,26.8,102.36,-999,-999,356.9,383.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/23/2009,3:17,335.4,2,13.86,378.5,2,12.38,1017.3,26.7,102.51,-999,-999,340.1,383.2,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/23/2009,6:17,373.3,2,13.64,378,2,12.24,1018.4,26.6,101.14,-999,-999,378.5,382.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/23/2009,9:17,432.3,2,13.42,379,2,12.2,1019.5,26.4,99.22,-999,-999,438.2,383.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/23/2009,12:17,483.5,2,13.37,379.2,2,12.42,1018,26.3,97.82,-999,-999,490.1,384,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/23/2009,15:17,527.9,2,13.21,380.1,2,12.19,1017.2,26.1,96.66,-999,-999,535,384.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/23/2009,18:17,571.7,2,13.71,380.2,2,12.34,1018.4,26,95.9,-999,-999,579.7,385,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/23/2009,21:17,352.8,2,14.15,379.5,2,12.55,1018.8,26.4,99.92,-999,-999,357.8,384.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/24/2009,0:17,311.4,2,14.19,379.9,2,12.72,1017.5,26.7,103.25,-999,-999,315.9,384.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/24/2009,3:17,349.2,2,13.76,379.9,2,12.36,1016.7,26.7,103.96,-999,-999,354.1,384.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/24/2009,6:17,424.5,2,13.55,380.1,2,12.59,1017.5,26.5,102.26,-999,-999,430.4,384.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/24/2009,9:17,421,2,13.27,380.2,2,12.17,1018.3,26.4,100,-999,-999,426.7,384.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/24/2009,12:17,501.8,2,12.89,380.4,2,12.03,1016.9,26.2,97.9,-999,-999,508.4,385,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/24/2009,15:17,511,2,12.53,380.5,2,11.87,1016.7,25.8,96.56,-999,-999,517.5,385,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/24/2009,18:17,516,2,13.51,379.8,2,12.27,1017.5,25.7,95.89,-999,-999,523.1,384.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/24/2009,21:17,341.3,2,14.12,379.1,2,12,1017.6,26.2,100.15,-999,-999,346.2,383.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/24/2009,23:00,279.7,2,14.2,379.4,2,12.06,1016.8,26.7,104.3,-999,-999,283.7,384,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/24/2009,23:30,283.2,2,13.18,381.1,2,11.33,1016.5,27.4,107.46,-999,-999,287,385.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/25/2009,0:00,301.1,2,13.24,381.8,2,11.15,1016.4,27.8,109.19,-999,-999,305.1,386.2,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/25/2009,0:30,313.4,2,13.35,381.9,2,11.35,1016.3,28,110.26,-999,-999,317.6,386.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/25/2009,1:00,326.4,2,13.38,383.1,2,11.31,1016.1,28.2,110.67,-999,-999,330.8,387.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/25/2009,1:30,326.5,2,13.46,382.3,2,11.56,1016.1,28.4,111.13,-999,-999,330.9,386.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/25/2009,2:00,323.5,2,13.34,382.3,2,11.55,1015.9,28.6,111.34,-999,-999,327.9,386.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/25/2009,2:30,325.3,2,13.63,382.3,2,11.8,1015.7,28.7,111.58,-999,-999,329.8,386.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/25/2009,3:00,332.1,2,13.64,382.5,2,11.55,1015.4,28.7,111.66,-999,-999,336.7,387,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/25/2009,3:30,350.3,2,13.61,382.9,2,11.67,1015.4,28.8,111.17,-999,-999,355.2,387.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/25/2009,6:17,386.1,2,13.71,380.1,2,12.44,1016.5,27.5,107.14,-999,-999,391.5,384.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/25/2009,9:17,464.5,2,13.6,380.2,2,12.38,1016.9,26.9,103.39,-999,-999,470.9,385,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/25/2009,12:17,501.9,2,13.27,380,2,12.31,1015.6,26.6,99.77,-999,-999,508.7,384.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/25/2009,15:17,523.1,2,13.21,380.1,2,12,1015.6,26.3,97.44,-999,-999,530.1,384.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/25/2009,18:17,540.9,2,13.65,379.9,2,12.26,1016.5,26.1,96.02,-999,-999,548.4,384.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/25/2009,21:17,376.6,2,14.16,379.1,2,12.52,1016.9,26.4,98.9,-999,-999,382.1,384,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/26/2009,0:17,275.4,2,14.6,378.7,2,12.89,1015.7,26.9,104.02,-999,-999,279.5,383.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/26/2009,3:17,330.8,2,14.38,378.7,2,12.91,1015.3,27.1,105.21,-999,-999,335.6,383.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/26/2009,6:17,362.3,2,13.57,379.1,2,12.4,1016.4,27,104.78,-999,-999,367.3,383.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/26/2009,9:17,456.4,2,13.65,379.1,2,12.61,1016.8,26.7,102.42,-999,-999,462.7,384,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/26/2009,12:17,490.2,2,12.97,379.1,2,12.52,1016,26.4,99.36,-999,-999,496.7,383.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/26/2009,15:17,528.5,2,12.5,379.7,2,12.03,1016.8,26,96.89,-999,-999,535.2,384.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/26/2009,18:17,581.2,2,13.67,378,2,12.88,1018,25.7,94.96,-999,-999,589.3,383,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/26/2009,21:17,414.6,2,13.9,377.2,2,12.58,1018.4,26.2,97.58,-999,-999,420.5,382,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/27/2009,0:17,269.4,2,14.33,377.3,2,12.29,1017.3,26.7,102.66,-999,-999,273.3,382,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/27/2009,3:17,295.5,2,14.35,376.8,2,12.62,1016.9,27.1,105.42,-999,-999,299.8,381.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/27/2009,6:17,330.9,2,13.65,377,2,12.41,1018,27.1,105.75,-999,-999,335.4,381.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/27/2009,9:17,387.7,2,13.43,377.3,2,12.28,1017.9,26.8,104.46,-999,-999,393,382,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/27/2009,12:17,546.2,2,13.27,377.7,2,12.02,1016.7,26.5,100.44,-999,-999,553.5,382.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/27/2009,15:17,570.1,2,13.28,377.5,2,12.15,1016.9,26.3,97.39,-999,-999,577.8,382.2,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/27/2009,18:17,590.3,2,13.39,377.7,2,12.18,1018.1,26.1,95.21,-999,-999,598.3,382.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/27/2009,21:17,420.4,2,14.25,377,2,12.33,1018,26.3,97.42,-999,-999,426.5,381.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/28/2009,0:17,298,2,14.5,376.7,2,12.54,1016.8,27,102.51,-999,-999,302.4,381.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/28/2009,3:17,294.6,2,14.55,377.3,2,12.62,1015.9,27.2,105.47,-999,-999,299,382.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/28/2009,6:17,363,2,13.67,378.9,2,12.34,1016.8,27,104.71,-999,-999,368,383.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/28/2009,9:17,366.7,2,13.42,380,2,12.19,1017.3,26.7,104.01,-999,-999,371.7,384.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/28/2009,12:17,518.5,2,13.01,380.3,2,12.18,1016,26.4,100.61,-999,-999,525.4,385,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/28/2009,15:17,596.6,2,13.25,380.2,2,12.32,1016,26.1,97.05,-999,-999,604.7,385,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/28/2009,18:17,507.2,2,13.86,380.2,2,12.6,1016.5,26.1,96.39,-999,-999,514.3,385,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/28/2009,21:17,401.9,2,14.17,379.8,2,12.54,1016.7,26.6,98.77,-999,-999,407.7,384.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/29/2009,0:17,305.5,2,14.7,378.3,2,13.03,1015.3,27.2,103.24,-999,-999,310.1,383.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/29/2009,3:17,276.6,2,14.55,379.6,2,12.96,1014.6,27.3,106.52,-999,-999,280.7,384.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/29/2009,6:17,356.7,2,13.66,379.4,2,12.32,1015.7,27.1,105.82,-999,-999,361.6,384.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/29/2009,9:17,354.1,2,13.54,378.6,2,12.6,1016,26.8,105.41,-999,-999,358.9,383.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/29/2009,12:17,438.6,2,12.4,379.1,2,11.92,1014.8,26.6,103.23,-999,-999,444.1,383.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/29/2009,15:17,571.3,2,12.78,379.5,2,11.97,1014.8,26,99.14,-999,-999,578.7,384.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/29/2009,18:17,630.9,2,13.51,378.9,2,12.03,1015.6,25.8,94.73,-999,-999,639.6,383.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/29/2009,21:17,484.4,2,14.04,377.7,2,12.07,1015.6,26.4,94.98,-999,-999,491.3,382.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/30/2009,0:17,390.2,2,14.74,378,2,12.34,1014,27.1,97.9,-999,-999,396.1,382.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/30/2009,3:17,387.3,2,15.27,378.1,2,12.72,1012.9,27.4,99.95,-999,-999,393.4,383,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/30/2009,6:17,370.3,2,13.82,378.9,2,11.54,1013.6,27.3,101.62,-999,-999,375.5,383.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/30/2009,9:17,381.3,2,13.76,379,2,12,1014,27,102.11,-999,-999,386.7,383.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/30/2009,12:17,463.1,2,13.18,379.6,2,11.85,1012.8,26.7,100.59,-999,-999,469.3,384.2,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/30/2009,15:17,600.3,2,12.09,382.6,2,11.49,1012.9,26.2,96.73,-999,-999,607.6,387.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/30/2009,18:17,547.4,2,13.4,379.7,2,11.93,1013.6,25.7,94.02,-999,-999,554.8,384.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,6/30/2009,21:17,407.6,2,13.99,377.8,2,11.73,1013.3,26.7,95.81,-999,-999,413.4,382.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/1/2009,0:17,452.7,2,15.06,378.2,2,12.18,1012.2,27.5,96.83,-999,-999,459.6,382.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/1/2009,3:17,445.8,2,15.63,378.5,2,12.5,1011.6,27.7,97.6,-999,-999,452.9,383.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/1/2009,6:17,399.9,2,13.87,378.9,2,11.95,1012.6,27.5,99.77,-999,-999,405.6,383.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/1/2009,9:17,416.5,2,13.75,378.7,2,12.38,1013.7,27.1,100.41,-999,-999,422.3,383.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/1/2009,12:17,423.6,2,13.12,389.9,2,12.09,1012.6,26.8,100.41,-999,-999,429.3,394.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/1/2009,15:17,448.3,2,12.85,395.1,2,12.1,1012.5,26.4,99.86,-999,-999,454.2,400,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/1/2009,18:17,554.7,2,14.03,380.1,2,12.62,1013.8,26.1,97.24,-999,-999,562.6,385,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/1/2009,21:17,461.8,2,14.58,378.1,2,12.69,1013.7,27.3,97.27,-999,-999,468.6,383,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/2/2009,0:17,445.1,2,15.33,377.9,2,13.25,1012.6,28.1,98.65,-999,-999,452,383,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/2/2009,3:17,469.7,2,15.06,378.1,2,13.37,1012.8,28.2,98.67,-999,-999,476.9,383.2,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/2/2009,6:17,484.3,2,14.22,378.7,2,12.74,1014.2,28,98.07,-999,-999,491.3,383.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/2/2009,9:17,605.7,2,14.13,378.9,2,13.03,1015.2,27.5,95.81,-999,-999,614.4,383.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/2/2009,12:17,637.2,2,13.44,379.8,2,12.36,1014.2,27.2,93.6,-999,-999,646,384.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/2/2009,15:17,726.5,2,13.66,379.2,2,12.68,1014.8,26.8,90.86,-999,-999,736.6,384.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/2/2009,18:17,627.6,2,14.81,378.3,2,13.39,1016.4,26.7,90.63,-999,-999,637.1,383.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/2/2009,21:17,438,2,15.16,377.6,2,13.25,1016.9,27.4,93.54,-999,-999,444.8,382.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/3/2009,0:17,433.7,2,15.6,378,2,13.68,1016,27.9,97.02,-999,-999,440.6,383.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/3/2009,3:17,451.5,2,15.35,377.9,2,13.58,1015.3,28.2,97.81,-999,-999,458.5,383.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/3/2009,6:17,501.6,2,14.34,378.1,2,13.15,1017.1,28,97.41,-999,-999,508.9,383.2,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/3/2009,9:17,527.3,2,14.1,378.6,2,13.02,1017.9,27.6,96.44,-999,-999,534.9,383.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/3/2009,12:17,564.7,2,13.78,378.9,2,12.56,1016.7,27.3,95.25,-999,-999,572.6,383.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/3/2009,15:17,608.1,2,13.9,378.8,2,12.88,1016.8,27,93.4,-999,-999,616.6,383.7,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/3/2009,18:17,537,2,14.94,378.4,2,13.33,1018.7,26.9,92.4,-999,-999,545.2,383.5,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/3/2009,21:17,413.9,2,15.18,377.5,2,13.28,1018.7,27.6,96.1,-999,-999,420.3,382.6,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/4/2009,0:17,427.4,2,15.52,377.6,2,13.47,1017.6,28.1,98.14,-999,-999,434.2,382.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/4/2009,3:17,434,2,15.34,378,2,13.27,1017.1,28.2,98.8,-999,-999,440.8,383.1,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,7/4/2009,6:17,428.7,2,14.15,378.2,2,12.87,1018.3,27.9,99.39,-999,-999,434.9,383.2,-999,-999,-999,-999,-999,-999
