Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP2_158W_21N,21.458,-157.798,6/3/2010,3:17,342.9,2,9.08,390.8,2,8.1,1013.7,27.7,103.69,25.942,35.42,346,394,333.9,380.2,-46.3,334.9,381.4,-46.5
CRIMP2_158W_21N,21.458,-157.798,6/3/2010,6:17,362.1,2,8.83,391.4,2,7.75,1014.7,27.2,103.35,25.492,35.374,365.3,394.5,353.2,381.4,-28.2,354.3,382.6,-28.2
CRIMP2_158W_21N,21.458,-157.798,6/3/2010,9:17,393.6,2,8.68,391.5,2,7.39,1015.3,26.8,102.44,25.125,35.365,397.1,394.4,384.4,381.8,2.6,385.6,383,2.6
CRIMP2_158W_21N,21.458,-157.798,6/3/2010,12:17,444.1,2,8.6,391.4,2,7.62,1014,26.4,101.36,24.823,35.357,447.9,394.4,433.3,381.5,51.8,434.7,382.7,51.9
CRIMP2_158W_21N,21.458,-157.798,6/3/2010,15:17,513.1,2,8.52,391.8,2,7.27,1013.7,26.2,98.96,24.498,35.377,517.5,394.7,500.8,381.9,118.9,502.4,383.1,119.2
CRIMP2_158W_21N,21.458,-157.798,6/3/2010,18:17,532.1,2,8.57,391.7,2,7.28,1014.6,26,97.53,24.139,35.321,536.7,394.5,520.1,382.3,137.7,521.8,383.6,138.2
CRIMP2_158W_21N,21.458,-157.798,6/3/2010,21:17,456.3,2,8.84,391.9,2,6.84,1014.5,26.2,98.44,24.22,35.292,460.4,394.6,446,382.3,63.7,447.5,383.5,64
CRIMP2_158W_21N,21.458,-157.798,6/4/2010,0:17,365,2,9.09,391.3,2,7.25,1012.8,26.7,101.07,24.909,35.27,368.4,394.2,355.9,380.8,-24.9,357,382,-25
CRIMP2_158W_21N,21.458,-157.798,6/4/2010,3:17,378,2,8.99,391.6,2,7.48,1012.4,26.9,102.36,25.084,35.301,381.5,394.5,368.2,380.8,-12.6,369.4,382,-12.6
CRIMP2_158W_21N,21.458,-157.798,6/4/2010,6:17,384.2,2,8.6,391.2,2,7.41,1014,26.6,102.64,24.96,35.32,387.5,394.2,374.8,381.2,-6.4,376,382.4,-6.4
CRIMP2_158W_21N,21.458,-157.798,6/4/2010,9:17,418,2,8.58,391.3,2,7.42,1014.6,26.2,102.31,24.871,35.359,421.6,394.3,408,381.6,26.5,409.4,382.8,26.6
CRIMP2_158W_21N,21.458,-157.798,6/4/2010,12:17,479.9,2,8.63,391.3,2,7.66,1012.6,26,100.87,24.804,35.376,484.1,394.3,467.6,380.9,86.7,469.1,382.1,86.9
CRIMP2_158W_21N,21.458,-157.798,6/4/2010,15:17,515.7,2,8.53,391.6,2,7.52,1012.5,25.9,99.44,24.561,35.328,520.1,394.5,502.6,381.2,121.4,504.2,382.5,121.7
CRIMP2_158W_21N,21.458,-157.798,6/4/2010,18:17,526.7,2,8.45,391.3,2,7.4,1014,25.8,97.93,24.209,35.385,531.2,394.2,514.4,381.8,132.6,516.1,383,133
CRIMP2_158W_21N,21.458,-157.798,6/4/2010,21:17,442.3,2,8.9,391.4,2,7.23,1014,25.9,98.49,24.617,35.399,446.3,394.3,431.8,381.6,50.3,433.2,382.8,50.5
CRIMP2_158W_21N,21.458,-157.798,6/5/2010,0:17,342.1,2,8.98,391,2,7.44,1013,26.4,100.95,25.244,35.45,345.2,394,333.3,380.4,-47.1,334.4,381.6,-47.2
CRIMP2_158W_21N,21.458,-157.798,6/5/2010,3:17,373.9,2,9.01,390.9,2,7.59,1012.4,26.5,102.49,25.14,35.415,377.3,393.9,364.2,380.2,-16,365.3,381.4,-16
CRIMP2_158W_21N,21.458,-157.798,6/5/2010,6:17,422.1,2,8.77,391,2,7.62,1013.4,26.4,101.93,24.906,35.316,425.8,394,411.6,380.8,30.7,412.9,382,30.8
CRIMP2_158W_21N,21.458,-157.798,6/5/2010,9:17,409.6,2,8.75,391,2,7.92,1014.2,26.2,101.67,24.84,35.371,413.2,394.1,399.8,381.3,18.5,401.1,382.5,18.6
CRIMP2_158W_21N,21.458,-157.798,6/5/2010,12:17,502.9,2,8.6,392.1,2,7.31,1013,26,99.94,24.609,35.385,507.3,395,490.4,381.9,108.6,492,383.1,108.9
CRIMP2_158W_21N,21.458,-157.798,6/5/2010,15:17,527.6,2,8.6,391.6,2,7.65,1013.2,25.8,98.48,24.469,35.465,532.2,394.6,514.7,381.6,133.1,516.4,382.9,133.5
