Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP2_158W_21N,21.458,-157.798,11/25/2009,0:17,455.4,2,13.3,376.5,2,11.44,1014.5,26.2,95.92,24.695,35.402,461.6,380.9,446.8,368.7,78.1,448.3,369.9,78.4
CRIMP2_158W_21N,21.458,-157.798,11/25/2009,3:17,415.9,2,12.96,377.9,2,11.71,1015.3,26.3,97.83,24.883,35.406,421.4,382.4,408.1,370.4,37.7,409.4,371.5,37.9
CRIMP2_158W_21N,21.458,-157.798,11/25/2009,6:17,410.9,2,12.82,378.2,2,11.65,1016.6,26.2,98.96,24.833,35.415,416.3,382.7,403.7,371.1,32.6,405,372.3,32.7
CRIMP2_158W_21N,21.458,-157.798,11/25/2009,9:17,412.7,2,12.78,377.9,2,11.67,1017.1,26.1,98.66,25.068,35.422,418,382.4,405.5,370.9,34.6,406.8,372.1,34.7
CRIMP2_158W_21N,21.458,-157.798,11/25/2009,12:17,395.1,2,12.81,378.2,2,11.71,1016.1,25.9,98.57,24.939,35.418,400.3,382.7,387.9,370.9,17.1,389.2,372,17.1
CRIMP2_158W_21N,21.458,-157.798,11/25/2009,15:17,458.3,2,12.66,378.4,2,11.66,1015.6,25.8,97.01,24.575,35.415,464.2,382.9,449.9,371.2,78.7,451.4,372.4,79
CRIMP2_158W_21N,21.458,-157.798,11/25/2009,18:17,551.7,2,13.09,378.2,2,12.3,1017.5,25.8,95.25,24.141,35.398,559,383,543.3,372.2,171.1,545.1,373.4,171.7
CRIMP2_158W_21N,21.458,-157.798,11/25/2009,21:17,450.4,2,13.49,377.8,2,12.43,1017.6,25.8,96.55,24.546,35.378,456.6,382.5,443.5,371.6,71.9,444.9,372.8,72.2
CRIMP2_158W_21N,21.458,-157.798,11/26/2009,0:17,377.8,2,12.74,378,2,12.33,1016,25.9,99.11,24.885,35.365,382.7,382.7,370.9,370.9,0,372.1,372.1,0
CRIMP2_158W_21N,21.458,-157.798,11/26/2009,3:17,351.5,2,11.93,378.3,2,12.21,1016.5,25.6,100.49,24.905,35.219,355.7,383,344.9,371.3,-26.4,346,372.5,-26.5
CRIMP2_158W_21N,21.458,-157.798,11/26/2009,6:17,419.3,2,12.04,378.8,2,12.06,1018,25.3,99.01,24.483,35.071,424.5,383.5,412.5,372.6,39.9,413.8,373.9,40
CRIMP2_158W_21N,21.458,-157.798,11/26/2009,9:17,472.3,2,12.18,377.9,2,12.22,1017.5,25,97.82,24.399,35.195,478.1,382.6,464.5,371.7,92.7,466,372.9,93
CRIMP2_158W_21N,21.458,-157.798,11/26/2009,12:17,508.3,2,12.88,378.6,2,12.29,1016.5,25,96.76,24.371,35.252,514.9,383.3,499.7,372,127.7,501.4,373.2,128.1
CRIMP2_158W_21N,21.458,-157.798,11/26/2009,15:17,509.3,2,12.76,378.7,2,11.68,1016.5,25.1,95.9,24.308,35.328,515.9,383.2,500.7,371.9,128.8,502.3,373.2,129.2
CRIMP2_158W_21N,21.458,-157.798,11/26/2009,18:17,512.2,2,12.55,378.6,2,11.77,1018.7,25.3,95.39,24.289,35.336,518.7,383.2,504.7,372.8,131.9,506.3,374,132.3
CRIMP2_158W_21N,21.458,-157.798,11/26/2009,21:17,417.5,2,13.72,377.9,2,12.56,1019,25.5,97.44,24.622,35.324,423.3,382.7,411.7,372.2,39.5,413,373.4,39.7
CRIMP2_158W_21N,21.458,-157.798,11/27/2009,0:17,360.6,2,13.49,378,2,12.35,1016.1,25.8,100.44,25.002,35.317,365.5,382.7,354.2,370.9,-16.7,355.4,372.1,-16.7
CRIMP2_158W_21N,21.458,-157.798,11/27/2009,3:17,284.9,2,12.99,377.9,2,12.2,1017.2,25.9,103.66,25.379,35.317,288.7,382.5,279.9,370.8,-91,280.8,372,-91.3
CRIMP2_158W_21N,21.458,-157.798,11/27/2009,6:17,373,2,13.07,378.2,2,12.15,1018.9,25.9,101.55,24.808,35.338,377.9,382.9,367.4,372.2,-4.8,368.6,373.4,-4.8
CRIMP2_158W_21N,21.458,-157.798,11/27/2009,9:17,448.3,2,12.83,378.3,2,12.05,1018.7,25.9,99.25,24.616,35.35,454.2,382.9,441.6,372.3,69.3,443,373.5,69.5
CRIMP2_158W_21N,21.458,-157.798,11/27/2009,12:17,473.3,2,13.03,377.9,2,12.28,1017.7,25.8,97.69,24.592,35.354,479.6,382.7,465.8,371.7,94.1,467.3,372.9,94.4
CRIMP2_158W_21N,21.458,-157.798,11/27/2009,15:17,479.2,2,12.9,378.3,2,12.17,1017.7,25.6,96.87,24.502,35.32,485.4,383,471.6,372.1,99.6,473.1,373.3,99.9
CRIMP2_158W_21N,21.458,-157.798,11/27/2009,18:17,466.6,2,13.48,377.9,2,12.27,1019.1,25.6,96.7,24.467,35.356,473,382.6,460.2,372.3,87.9,461.7,373.5,88.2
CRIMP2_158W_21N,21.458,-157.798,11/27/2009,21:17,365.9,2,13.67,377.3,2,12.47,1018.4,25.8,99.41,24.879,35.358,371,382.1,360.4,371.2,-10.8,361.6,372.4,-10.8
CRIMP2_158W_21N,21.458,-157.798,11/28/2009,0:17,317.8,2,13.59,377.3,2,12.25,1016.5,26,102.53,25.39,35.362,322.2,382,312.2,370.1,-57.9,313.2,371.2,-58.1
CRIMP2_158W_21N,21.458,-157.798,11/28/2009,3:17,303.7,2,13.02,377.8,2,11.62,1016.9,26.1,103.36,25.302,35.39,307.7,382.3,298.2,370.5,-72.3,299.2,371.7,-72.6
CRIMP2_158W_21N,21.458,-157.798,11/28/2009,6:17,392.1,2,12.89,377.7,2,12.06,1018.3,26,100.93,24.496,35.393,397.2,382.4,386.1,371.7,14.5,387.4,372.9,14.5
CRIMP2_158W_21N,21.458,-157.798,11/28/2009,9:17,452.3,2,12.94,378.1,2,11.81,1018.3,25.9,99.01,24.357,35.38,458.3,382.6,445.6,372.1,73.5,447,373.3,73.8
CRIMP2_158W_21N,21.458,-157.798,11/28/2009,12:17,456.3,2,12.57,378.7,2,10.97,1016.9,25.6,97.77,24.339,35.399,462.1,383,448.7,371.8,76.8,450.1,373,77.1
CRIMP2_158W_21N,21.458,-157.798,11/28/2009,15:17,479,2,12.56,378.7,2,11.02,1016.4,25.4,96.48,24.15,35.406,485.2,383,471,371.8,99.2,472.5,373,99.5
CRIMP2_158W_21N,21.458,-157.798,11/28/2009,18:17,502.8,2,13.04,378.5,2,11.66,1017.6,25.3,95.48,23.902,35.399,509.4,383,495.4,372.5,122.9,497,373.7,123.3
CRIMP2_158W_21N,21.458,-157.798,11/28/2009,21:17,409.7,2,13.35,378.1,2,11.82,1017.2,25.5,97.36,24.266,35.394,415.2,382.6,403.4,371.7,31.7,404.7,372.9,31.8
CRIMP2_158W_21N,21.458,-157.798,11/29/2009,0:17,343,2,13.73,378,2,12.01,1015,25.8,100.53,24.869,35.394,347.8,382.6,336.7,370.5,-33.7,337.8,371.7,-33.9
CRIMP2_158W_21N,21.458,-157.798,11/29/2009,3:17,283.8,2,13.02,378,2,11.79,1016,26,103.82,25.266,35.404,287.5,382.6,278.5,370.5,-92,279.4,371.7,-92.3
CRIMP2_158W_21N,21.458,-157.798,11/29/2009,6:17,300,2,12.75,378.8,2,11.71,1017.6,25.9,103.17,25.203,35.421,303.9,383.3,294.9,371.9,-77,295.8,373.1,-77.3
CRIMP2_158W_21N,21.458,-157.798,11/29/2009,9:17,431.6,2,11.77,378.5,2,11.44,1017.5,25.8,100.1,24.344,35.396,436.8,382.8,424.3,371.9,52.4,425.7,373.2,52.6
CRIMP2_158W_21N,21.458,-157.798,11/29/2009,12:17,486.6,2,12.27,379.3,2,11.12,1016.7,25.3,97.76,24.112,35.326,492.7,383.6,478.5,372.5,106,480,373.7,106.3
CRIMP2_158W_21N,21.458,-157.798,11/29/2009,15:17,481.5,2,12.31,378.7,2,11.36,1016.7,25,96.77,24.082,35.347,487.5,383,473.5,372,101.5,475.1,373.2,101.8
CRIMP2_158W_21N,21.458,-157.798,11/29/2009,18:17,548.5,2,12.94,378.6,2,11.59,1017.6,25,95.36,23.707,35.352,555.7,383,540.5,372.6,167.9,542.3,373.8,168.5
CRIMP2_158W_21N,21.458,-157.798,11/29/2009,21:17,388.8,2,12.76,378.2,2,11.63,1017.1,25.1,98.07,24.267,35.359,393.8,382.6,382.5,371.7,10.8,383.7,372.9,10.9
CRIMP2_158W_21N,21.458,-157.798,11/30/2009,0:17,328.7,2,13.29,377.9,2,11.86,1014.9,25.3,101.07,24.721,35.343,333.1,382.4,322.6,370.3,-47.7,323.6,371.5,-47.9
CRIMP2_158W_21N,21.458,-157.798,11/30/2009,3:17,294.9,2,11.65,378,2,11.26,1015.3,25.4,102.34,24.644,35.364,298.4,382.4,289.1,370.5,-81.3,290,371.7,-81.6
CRIMP2_158W_21N,21.458,-157.798,11/30/2009,6:17,362.1,2,12.32,379.1,2,11.28,1016.8,25.1,100.15,23.514,35.375,366.6,383.4,356.4,372.8,-16.4,357.6,374,-16.4
CRIMP2_158W_21N,21.458,-157.798,11/30/2009,9:17,456.1,2,12.09,379.5,2,11.41,1015.9,25,98.86,23.688,35.353,461.7,383.9,448.3,372.8,75.5,449.8,374.1,75.7
CRIMP2_158W_21N,21.458,-157.798,11/30/2009,12:17,479.1,2,11.98,380.1,2,11.35,1014.9,24.6,98.24,23.789,35.315,484.9,384.5,470.3,373,97.4,471.9,374.2,97.7
CRIMP2_158W_21N,21.458,-157.798,11/30/2009,15:17,481.5,2,12,379.8,2,11.47,1014.4,24.3,97.59,23.753,34.487,487.4,384.2,472.5,372.5,100,474.1,373.7,100.3
CRIMP2_158W_21N,21.458,-157.798,11/30/2009,18:17,485.6,2,12.46,380.2,2,11.37,1015.3,24.1,97.3,23.488,35.271,491.7,384.6,477.4,373.4,104,479,374.6,104.3
CRIMP2_158W_21N,21.458,-157.798,11/30/2009,21:17,378.2,2,12.5,379.5,2,11.71,1015.7,24.2,99.89,23.936,35.243,383,384,371.7,372.7,-1,372.9,373.9,-1
CRIMP2_158W_21N,21.458,-157.798,12/1/2009,0:17,347.9,2,12.11,379.9,2,11.23,1013.7,24.4,101.75,24.23,35.282,352.2,384.2,341,371.9,-31,342.1,373.1,-31.1
CRIMP2_158W_21N,21.458,-157.798,12/1/2009,3:17,329.6,2,11.56,380.2,2,11.29,1013.4,24.4,102.69,24.14,35.292,333.5,384.5,322.8,372.2,-49.4,323.8,373.4,-49.6
CRIMP2_158W_21N,21.458,-157.798,12/1/2009,6:17,398,2,11.82,379.8,2,11.59,1014.9,24.4,100.49,23.527,35.278,402.8,384.2,390.9,372.9,18,392.1,374.1,18
CRIMP2_158W_21N,21.458,-157.798,12/1/2009,9:17,489.5,2,11.55,379.8,2,11.24,1014.6,24.3,98.72,23.53,35.314,495.3,384.1,480.5,372.6,107.8,482,373.9,108.2
CRIMP2_158W_21N,21.458,-157.798,12/1/2009,12:17,508.8,2,11.68,379.5,2,11.43,1012.5,24.2,97.65,23.688,35.3,514.8,383.9,498.2,371.5,126.7,499.8,372.8,127.1
CRIMP2_158W_21N,21.458,-157.798,12/1/2009,15:17,509.3,2,12.17,379.5,2,11.6,1011.9,24.2,96.82,23.577,35.303,515.6,384,498.8,371.5,127.3,500.4,372.7,127.7
CRIMP2_158W_21N,21.458,-157.798,12/1/2009,18:17,603.3,2,12.79,379.2,2,11.87,1012.9,24.3,95.07,23.432,35.301,611.1,383.8,591.9,371.7,220.2,593.9,372.9,220.9
CRIMP2_158W_21N,21.458,-157.798,12/1/2009,21:17,452,2,12.84,378.7,2,11.61,1012.6,24.6,97.18,23.71,35.286,457.9,383.1,443.2,370.8,72.4,444.6,372,72.6
CRIMP2_158W_21N,21.458,-157.798,12/2/2009,0:17,379.8,2,13.2,378.3,2,12.04,1009.7,24.9,100.3,24.044,35.22,384.9,383,371.2,369.3,1.9,372.4,370.5,1.9
CRIMP2_158W_21N,21.458,-157.798,12/2/2009,3:17,355.8,2,13.95,379.5,2,12.4,1009.9,25.2,103.28,24.232,35.215,360.8,384.2,348,370.5,-22.6,349.1,371.7,-22.6
CRIMP2_158W_21N,21.458,-157.798,12/2/2009,6:17,403.4,2,10.72,394,2,10.51,1012.1,25.3,103.39,24.005,35.032,407.8,398.2,394.3,385,9.3,395.6,386.3,9.3
CRIMP2_158W_21N,21.458,-157.798,12/2/2009,9:17,359.2,2,10.98,395.9,2,10.81,1011.4,24.8,103.77,24.302,35.162,363.2,400.3,350.7,386.5,-35.8,351.9,387.8,-35.9
CRIMP2_158W_21N,21.458,-157.798,12/2/2009,12:17,492.7,2,11.04,383.3,2,10.79,1010.9,24.3,100.69,23.515,34.85,498.2,387.5,481.5,374.5,106.9,483,375.8,107.3
CRIMP2_158W_21N,21.458,-157.798,12/2/2009,15:17,471.9,2,10.41,406.9,2,10.24,1010.7,23.8,98.91,23.603,35.117,476.9,411.1,460.7,397.2,63.5,462.2,398.5,63.7
CRIMP2_158W_21N,21.458,-157.798,12/2/2009,18:17,465,2,11.87,396.5,2,11.87,1012.5,23.3,98.05,23.997,35.113,470.6,401.3,455.2,388.1,67,456.6,389.4,67.2
CRIMP2_158W_21N,21.458,-157.798,12/2/2009,21:17,421.6,2,13.51,378.1,2,13.54,1011.7,24.1,99.35,24.156,34.627,427.4,383.3,412.9,370.3,42.6,414.3,371.5,42.7
CRIMP2_158W_21N,21.458,-157.798,12/3/2009,0:17,413.4,2,8.29,378.1,2,6.6,1009.5,25.7,100.02,24.355,35.067,416.9,380.6,401.8,366.8,35,403,368,35.1
CRIMP2_158W_21N,21.458,-157.798,12/3/2009,3:17,392.2,2,12.37,379.1,2,10.78,1009.7,26.3,100.81,24.06,35.213,397.1,383.2,383,369.6,13.4,384.2,370.8,13.5
CRIMP2_158W_21N,21.458,-157.798,12/3/2009,6:17,453.7,2,12.32,380.3,2,11.01,1011.3,26.1,100.05,24.144,35.106,459.4,384.5,443.7,371.4,72.3,445.1,372.6,72.5
CRIMP2_158W_21N,21.458,-157.798,12/3/2009,9:17,406.3,2,11.31,395.1,2,10.84,1010.9,25.6,99.96,24.565,34.562,411,399.4,396.5,385.3,11.2,397.8,386.6,11.2
CRIMP2_158W_21N,21.458,-157.798,12/3/2009,12:17,417,2,11.07,387.2,2,10.61,1009.1,25,99.08,24.181,34.872,421.7,391.4,406.3,377.1,29.2,407.6,378.3,29.3
CRIMP2_158W_21N,21.458,-157.798,12/3/2009,15:17,510.1,2,10.79,390.1,2,10.19,1007.9,24.3,96.96,24.056,34.903,515.7,394.1,496.4,379.4,117,498,380.6,117.4
CRIMP2_158W_21N,21.458,-157.798,12/3/2009,18:17,479.2,2,12.32,403.3,2,11.92,1009.1,23.7,96.66,24.056,35.059,485.2,408.2,467.7,393.4,74.2,469.2,394.7,74.5
CRIMP2_158W_21N,21.458,-157.798,12/3/2009,21:17,455.6,2,13.93,378.8,2,12.18,1008.5,24.4,96.9,24.261,34.725,462.1,383.5,444.9,369.3,75.6,446.4,370.5,75.9
CRIMP2_158W_21N,21.458,-157.798,12/4/2009,0:17,457.4,2,13.92,378.4,2,11.86,1006.6,25.4,97.58,24.439,34.658,463.9,383,445.7,367.9,77.8,447.1,369.1,78
CRIMP2_158W_21N,21.458,-157.798,12/4/2009,3:17,441.3,2,13.33,380.1,2,11.84,1006.3,26,98.64,24.434,34.711,447.3,384.7,429.6,369.5,60.1,431,370.7,60.3
