Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP2_158W_21N,21.458,-157.798,9/26/2011,0:17,419.9,2,8.07,383.6,2,7.14,1014.9,29,100.39,-999,-999,423.3,386.3,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,9/26/2011,3:17,449,2,8.43,383.9,2,7.51,1014.6,29.4,100.42,-999,-999,452.8,386.8,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,9/26/2011,6:17,490.3,2,7.74,386.7,2,7.1,1016.1,28.6,99.78,-999,-999,494.1,389.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,9/26/2011,9:17,488.9,2,7.72,384.4,2,7.17,1016.3,27.8,99.42,-999,-999,492.7,387.2,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,9/26/2011,12:17,403.1,2,7.44,388.7,2,6.87,1015.4,27.3,100.53,-999,-999,406.1,391.4,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,9/26/2011,15:17,442.4,2,7.19,391.6,2,6.78,1015.1,26.7,100.45,-999,-999,445.6,394.2,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,9/26/2011,18:17,713.6,2,7.35,387.2,2,6.83,1016.6,26.2,96.52,-999,-999,718.8,389.9,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,9/26/2011,21:17,701.7,2,7.7,384.3,2,7.11,1017,27,93.81,-999,-999,707.1,387,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,9/27/2011,0:17,597.3,2,8.2,384.1,2,7.34,1015.4,28,92.86,-999,-999,602.3,387,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,9/27/2011,3:17,476.4,2,8.41,383.9,2,7.55,1015.4,28.4,94.31,-999,-999,480.4,386.8,-999,-999,-999,-999,-999,-999
